id,sec,loc,claim,value,exp,data,script,figure,worklog,status,note
C-01,1 Introduction and model,"Sec. 1.3, Eq. (7)-(9)",The N-dimensional delayed dynamics reduces exactly onto the P-dimensional pattern subspace; the transverse component obeys t0 w' = -w and decays.,Full vs reduced trajectory agreement 1e-15 on the certification trajectory (independently recorded discrepancy 5.49e-16).,reduction certification (V0/V1/V4),"-- (validation run, printed by the module self-test)",code/core/cycle_reduced.py  (validations in __main__),-,docs/worklogs/CYCLE_worklog.md §3,established,Algebraic identity plus a numerical certification. The manuscript quotes 1e-15; the V5 evidence register quotes 5.49e-16 for the same check.
C-02,1 Introduction and model,"Sec. 1.3, Eq. (10)-(11)",The reduced system keeps the realized finite-size disorder: no disorder average is taken anywhere in m(a).,m(a) = N^-1 X tanh(beta X^T a) built from the actual pattern matrix X.,-- (definition),--,code/core/cycle_reduced.py,-,docs/worklogs/CYCLE_worklog.md §3,analytic,"Structural property of the reduction, not a measurement."
C-03,1 Introduction and model,Eq. (12) reference parameters,Branch-resolved results refer to one reference realization.,"N=2000, P=100, alpha=0.05, beta=20, tau=10, seed 42, time in units of t0.",-- (convention),--,code/core/config.py,-,docs/worklogs/CYCLE_worklog.md §1,established,
C-04,1 Introduction and model,"Fig. 1 (Figure00) panels (b),(c)","Above threshold a single localized activity peak traverses the complete memory ring, with consecutive overlaps displaying the relay clock.","lambda=0.9, tau=10, 26 relays; measured T1 = tau + t_esc = 10.83.",E1/E4 cycle construction,data/2_recall_cycle_snic/data/cycle_lam0.9_tau10.0_N2000.npz  (field a_grid),code/core/pacemaker_cycle.py ; code/core/cycle_figures.py,Figure00_model_architecture.png,code/figures/v2/README.md (Panel 00),established,
C-05,1 Introduction and model,Fig. 1 (Figure00) panel (d),Below threshold the directed coupling tilts a retrieval state toward its successor without dislodging it.,"lambda=0.10 fixed point, host and successor overlaps only.",E24a,data/3_threshold_scaling/data/E24_curves_N2000_s42.npz,code/experiments/e24a_geometry.py,Figure00_model_architecture.png,code/figures/v2/README.md (Panel 00),qualified,The panel-00 README notes that the bars beyond index 1 are drawn at the cross-talk scale for context and are NOT individually measured; the caption must say so or the bars must be dropped.
C-06,1 Introduction and model,"Sec. 1.4, Fig. 2 (Figure01)","A phenomenological (alpha, lambda) survey at three delays separates persistent static retrieval, ordered forward relays and failure of both.","N=2500, beta=20, 30x30 grid over alpha in [0.01,0.30] and lambda in [0,1], Euler dt=0.05, J_ii=0, tau/t0 in {1,3,10}.",continuous-time phase survey (pre-E campaign),[local archive] obsolete/03_legacy_code/Projet_Chicago/stabilite/systeme continu/phases & comparaison/phases continu/  (walkthrough.md + arrays),see walkthrough.md in that folder,Figure01_phase_diagram.png,[local archive] obsolete/03_legacy_code/Projet_Chicago/stabilité/système continu/phases & comparaison/phases continu/walkthrough.md,qualified,"ACTION: the panel file shipped with the manuscript is named 'phases MCMC.png' in figures/panels/, yet the manuscript describes Euler integration of the continuous-time model. Confirm the file is the continuous-time survey and rename it before release. This survey uses a different protocol (hollow J, Euler) from every other result in the paper, as the manuscript already states."
C-07,2 Quenched fold ensemble,"Sec. 2.1, Eq. (17)",A zero root of the delay characteristic equation is exactly a zero eigenvalue of the static continuation problem: Delta(0) = -M.,Exact identity; fold locations are therefore tau-independent.,"-- (analytic, re-derived and checked numerically)",--,code/core/reduced_spectrum.py ; code/core/audit_static_analysis.py,-,docs/worklogs/REPORT_static_bifurcation.md §3.4b,analytic,
C-08,2 Quenched fold ensemble,"Sec. 2.1, Eq. (15)-(16)",Sylvester's determinant identity collapses the transcendental NxN characteristic problem onto a PxP problem T_P(z).,det Delta(z) = (t0 z + 1)^(N-P) det T_P(z).,-- (analytic) + dense NxN cross-check,data/3_threshold_scaling/data/E21d_memory_fold_check.npz,code/core/robust_branch.py ; code/core/reduced_spectrum.py ; code/experiments/e21d_memory_fold_check.py,-,docs/worklogs/CYCLE_worklog.md E21d (dense NxN vs Sylvester agreement 2e-16),established,
C-09,2 Quenched fold ensemble,Sec. 2.1,"Over the tested (alpha, tau) grid, every terminal point of a memory branch carries a real zero mode: no delay-induced Hopf bifurcation preempts the fold.","alpha in {0.01,0.03,0.05,0.07,0.10} x tau/t0 in {0,0.5,1,2,4,6,8,10,12,15}.",lambda_c grid v2,data/1_static_bifurcation/data/lambda_c_grid_v2_N2000.npz ; data/1_static_bifurcation/data/lambda_c_grid.npz,code/core/lambda_c_grid_v2.py ; code/core/lambda_c_grid.py,-  (grid figure: figures/experiments/1_static_bifurcation/lambda_c_grid_v2_N2000.png),docs/worklogs/REPORT_static_bifurcation.md §5.2,established,
C-10,2 Quenched fold ensemble,Sec. 2.1 (caveat paragraph),The alpha=0.10 edge of the grid is reported as qualitative only: near capacity the single-realization fold is not a well-defined quantity.,Fitted fold location drifts from ~0.18 at N=1e3 to ~0.05 at N=1e4; seed-to-seed scatter reaches ~60% of the mean; some realizations produce spurious unstable starting states.,multi-seed static folds,data/1_static_bifurcation/data/fold_N10000_a0.1.npz ; data/1_static_bifurcation/data/fold_N2000_a0.1.npz,code/core/multiseed_fold.py ; code/core/run_N10000.py,-,docs/worklogs/REPORT_static_bifurcation.md §5.3-5.4,limitation,"Explicitly flagged in the manuscript as indicative of the qualitative verdict only, not as a quantitative threshold."
